sample_id,video_id,proposal_index,parent_start,parent_end,gt_start,gt_end,original_iou,oracle_candidate,oracle_iou,oracle_gain,legacy_candidate,legacy_iou,legacy_delta_iou,legacy_regret,parent_nll,legacy_nll,candidate_contrast,candidate_contrast_std,boundary_confidence
v0:0,v0,0,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v0:0,v0,1,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v1:0,v1,0,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v1:0,v1,1,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v2:0,v2,0,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v2:0,v2,1,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v3:0,v3,0,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v3:0,v3,1,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v4:0,v4,0,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v4:0,v4,1,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v5:0,v5,0,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
v5:0,v5,1,0.1,0.9,0.11999999731779099,0.8399999737739563,0.8999999990686774,left_near,1.0,0.10000000093132255,original,0.8999999990686774,0.0,0.10000000093132255,1.0,1.0,1.0,0.0,0.0
